2026/05/23 06:08:55.157, 0, Quadro T2000, 879, 4096
2026/05/23 06:08:56.157, 0, Quadro T2000, 868, 4096
2026/05/23 06:08:57.157, 0, Quadro T2000, 862, 4096
2026/05/23 06:08:58.157, 0, Quadro T2000, 868, 4096
2026/05/23 06:08:59.158, 0, Quadro T2000, 865, 4096
2026/05/23 06:09:00.158, 0, Quadro T2000, 854, 4096
2026/05/23 06:09:01.158, 0, Quadro T2000, 828, 4096
2026/05/23 06:09:02.158, 0, Quadro T2000, 827, 4096
2026/05/23 06:09:03.158, 0, Quadro T2000, 826, 4096
2026/05/23 06:09:04.159, 0, Quadro T2000, 827, 4096
2026/05/23 06:09:05.159, 0, Quadro T2000, 2705, 4096
2026/05/23 06:09:06.159, 0, Quadro T2000, 2699, 4096
2026/05/23 06:09:07.159, 0, Quadro T2000, 2694, 4096
2026/05/23 06:09:08.159, 0, Quadro T2000, 2887, 4096
2026/05/23 06:09:09.159, 0, Quadro T2000, 2887, 4096
2026/05/23 06:09:10.177, 0, Quadro T2000, 2886, 4096
2026/05/23 06:09:11.177, 0, Quadro T2000, 2889, 4096
2026/05/23 06:09:12.177, 0, Quadro T2000, 2889, 4096
2026/05/23 06:09:13.177, 0, Quadro T2000, 2889, 4096
2026/05/23 06:09:14.177, 0, Quadro T2000, 2064, 4096
2026/05/23 06:09:15.178, 0, Quadro T2000, 2064, 4096
2026/05/23 06:09:16.178, 0, Quadro T2000, 1997, 4096
2026/05/23 06:09:17.178, 0, Quadro T2000, 2008, 4096
2026/05/23 06:09:18.178, 0, Quadro T2000, 2024, 4096
2026/05/23 06:09:19.178, 0, Quadro T2000, 1625, 4096
2026/05/23 06:09:20.178, 0, Quadro T2000, 2206, 4096
2026/05/23 06:09:21.179, 0, Quadro T2000, 1616, 4096
2026/05/23 06:09:22.179, 0, Quadro T2000, 1620, 4096
2026/05/23 06:09:23.179, 0, Quadro T2000, 1608, 4096
2026/05/23 06:09:24.179, 0, Quadro T2000, 2778, 4096
2026/05/23 06:09:25.179, 0, Quadro T2000, 2778, 4096
2026/05/23 06:09:26.179, 0, Quadro T2000, 1932, 4096
2026/05/23 06:09:27.180, 0, Quadro T2000, 1904, 4096
2026/05/23 06:09:28.180, 0, Quadro T2000, 1904, 4096
2026/05/23 06:09:29.180, 0, Quadro T2000, 1902, 4096
2026/05/23 06:09:30.180, 0, Quadro T2000, 1902, 4096
2026/05/23 06:09:31.180, 0, Quadro T2000, 1902, 4096
2026/05/23 06:09:32.180, 0, Quadro T2000, 2062, 4096
2026/05/23 06:09:33.181, 0, Quadro T2000, 2062, 4096
2026/05/23 06:09:34.181, 0, Quadro T2000, 3604, 4096
2026/05/23 06:09:35.190, 0, Quadro T2000, 3604, 4096
2026/05/23 06:09:36.190, 0, Quadro T2000, 3611, 4096
2026/05/23 06:09:37.190, 0, Quadro T2000, 3621, 4096
2026/05/23 06:09:38.190, 0, Quadro T2000, 3621, 4096
2026/05/23 06:09:39.190, 0, Quadro T2000, 3614, 4096
2026/05/23 06:09:40.190, 0, Quadro T2000, 3610, 4096
2026/05/23 06:09:41.191, 0, Quadro T2000, 3608, 4096
2026/05/23 06:09:42.191, 0, Quadro T2000, 3608, 4096
2026/05/23 06:09:43.191, 0, Quadro T2000, 3606, 4096
2026/05/23 06:09:44.191, 0, Quadro T2000, 3607, 4096
2026/05/23 06:09:45.191, 0, Quadro T2000, 3607, 4096
2026/05/23 06:09:46.191, 0, Quadro T2000, 3329, 4096
2026/05/23 06:09:47.192, 0, Quadro T2000, 1325, 4096
2026/05/23 06:09:48.192, 0, Quadro T2000, 1027, 4096
2026/05/23 06:09:49.192, 0, Quadro T2000, 1027, 4096
2026/05/23 06:09:50.192, 0, Quadro T2000, 1027, 4096
2026/05/23 06:09:51.192, 0, Quadro T2000, 1027, 4096
2026/05/23 06:09:52.193, 0, Quadro T2000, 1027, 4096
2026/05/23 06:09:53.193, 0, Quadro T2000, 2733, 4096
2026/05/23 06:09:54.193, 0, Quadro T2000, 2734, 4096
2026/05/23 06:09:55.193, 0, Quadro T2000, 3539, 4096
2026/05/23 06:09:56.193, 0, Quadro T2000, 1025, 4096
2026/05/23 06:09:57.194, 0, Quadro T2000, 1025, 4096
