2026/05/23 06:07:16.461, 0, Quadro T2000, 852, 4096
2026/05/23 06:07:17.461, 0, Quadro T2000, 843, 4096
2026/05/23 06:07:18.461, 0, Quadro T2000, 839, 4096
2026/05/23 06:07:19.461, 0, Quadro T2000, 839, 4096
2026/05/23 06:07:20.461, 0, Quadro T2000, 845, 4096
2026/05/23 06:07:21.461, 0, Quadro T2000, 835, 4096
2026/05/23 06:07:22.462, 0, Quadro T2000, 847, 4096
2026/05/23 06:07:23.462, 0, Quadro T2000, 863, 4096
2026/05/23 06:07:24.462, 0, Quadro T2000, 873, 4096
2026/05/23 06:07:25.462, 0, Quadro T2000, 1920, 4096
2026/05/23 06:07:26.462, 0, Quadro T2000, 1914, 4096
2026/05/23 06:07:27.462, 0, Quadro T2000, 2006, 4096
2026/05/23 06:07:28.463, 0, Quadro T2000, 1990, 4096
2026/05/23 06:07:29.463, 0, Quadro T2000, 1989, 4096
2026/05/23 06:07:30.463, 0, Quadro T2000, 1594, 4096
2026/05/23 06:07:31.463, 0, Quadro T2000, 1613, 4096
2026/05/23 06:07:32.463, 0, Quadro T2000, 1603, 4096
2026/05/23 06:07:33.464, 0, Quadro T2000, 1952, 4096
2026/05/23 06:07:34.464, 0, Quadro T2000, 1373, 4096
2026/05/23 06:07:35.464, 0, Quadro T2000, 2547, 4096
2026/05/23 06:07:36.464, 0, Quadro T2000, 1547, 4096
2026/05/23 06:07:37.464, 0, Quadro T2000, 1678, 4096
2026/05/23 06:07:38.464, 0, Quadro T2000, 1672, 4096
2026/05/23 06:07:39.465, 0, Quadro T2000, 1685, 4096
2026/05/23 06:07:40.465, 0, Quadro T2000, 1689, 4096
2026/05/23 06:07:41.465, 0, Quadro T2000, 2419, 4096
2026/05/23 06:07:42.465, 0, Quadro T2000, 2414, 4096
2026/05/23 06:07:43.465, 0, Quadro T2000, 2410, 4096
2026/05/23 06:07:44.465, 0, Quadro T2000, 2410, 4096
2026/05/23 06:07:45.466, 0, Quadro T2000, 2410, 4096
2026/05/23 06:07:46.466, 0, Quadro T2000, 2410, 4096
2026/05/23 06:07:47.466, 0, Quadro T2000, 1946, 4096
2026/05/23 06:07:48.466, 0, Quadro T2000, 989, 4096
2026/05/23 06:07:49.466, 0, Quadro T2000, 989, 4096
